trade_date,long_atm_strangle,long_call_butterfly,calendar_spread
20260102,0.0,0.0,0.0
20260105,0.0,0.0,0.0
20260106,0.0,0.0,0.0
20260107,0.0,0.0,0.0
20260108,0.0,0.0,0.0
20260109,0.0,0.0,0.0
20260112,0.0,0.0,0.0
20260113,0.0,0.0,0.0
20260114,0.0,0.0,0.0
20260115,0.0,0.0,0.0
20260116,0.0,0.0,0.0
20260119,0.0,0.0,0.0
20260120,-0.08712759977515439,0.0,0.0
20260121,0.011083743842364324,0.0,0.0
20260122,-0.01887941534713755,0.0,0.0
20260123,0.09683426443202992,0.0,0.0
20260126,0.014714204867006142,0.0,0.0
20260127,0.0,0.0,0.0
20260128,0.0,0.0,0.0
20260129,0.0,0.0,0.0
20260130,0.0,0.0,0.0
20260202,0.0,0.0,0.0
20260203,0.0,0.0,0.0
20260204,0.0,0.0,0.0
20260205,0.0,0.0,0.0
20260206,0.0,0.0,0.0
20260209,0.0,0.0,0.0
20260210,-0.007808142777467997,0.0,0.0
20260211,-0.10035842293906805,0.0,0.0
20260212,-0.36254980079681265,0.0,0.0
20260213,5.414583333333334,0.0,0.0
20260216,0.0,0.0,0.0
20260217,0.0,0.0,0.0
20260218,0.0,0.0,0.0
20260219,0.0,0.0,0.0
20260220,0.0,0.0,0.0
20260223,0.29977265345891513,0.0,0.0
20260224,0.0,0.0,-0.16281847133757965
20260225,0.0,0.0,0.07227769852591526
20260226,-0.7908545727136432,0.0,0.0
20260227,-0.040950040950040845,0.0,0.0
20260302,-0.043552519214346774,0.0,0.0
20260303,0.14464285714285707,0.0,0.0
20260304,0.0,0.0,0.11396895787139694
20260305,0.0,0.0,-0.18138370505234414
20260306,0.0,0.0,0.0
20260309,0.0,0.0,0.22157353350013897
20260310,0.0,0.0,0.2654639175257729
20260311,0.0,0.0,0.0
20260312,0.0,0.0,0.0
20260313,0.0,0.0,0.0
20260316,0.0,0.0,-0.20947343141321728
20260317,0.0,0.0,-0.09593060339328996
20260318,0.0,0.0,-0.20982079864540715
20260319,0.0,0.0,0.04571428571428582
20260320,0.0,0.0,-0.5508879781420767
20260323,0.0,0.0,-0.09505703422053191
20260324,0.0,-0.07317073170730604,-0.2739495798319329
20260325,0.0,0.15789473684209465,0.2546296296296304
20260326,0.0,-0.2500000000000049,-0.22693726937269387
20260327,0.0,0.12121212121213665,-0.6754176610978522
20260330,0.0,2.8648648648648196,-0.7977941176470587
20260331,0.0,-0.7692307692307667,0.0
20260401,0.0,0.181818181818183,0.0
20260402,0.0,-0.02564102564103843,0.0
20260403,0.0,-0.10526315789472385,0.0
20260406,0.0,-0.3529411764706064,0.0
20260407,0.0,0.0,0.0
20260408,0.0,0.0,0.0
20260409,0.0,0.0,0.0
20260410,0.0,0.0,0.0
20260413,0.0,0.0,0.0
20260414,0.0,0.0,0.0
20260415,0.0,0.0,0.0
20260416,0.0,0.0,0.0
20260417,0.0,0.0,0.0
20260420,0.0,0.0,0.0
20260421,0.0,0.0,0.0
20260422,0.0,0.0,0.0
20260423,0.0,0.0,0.0
20260424,0.0,0.0,0.0
20260427,0.0,0.0,0.0
20260428,-0.04758190327613099,0.0,0.0
20260429,-0.045574057843996374,0.0,0.0
20260430,0.45959595959595934,0.0,0.0
20260501,0.0,0.0,0.0
20260504,0.0,0.0,0.0
20260505,0.0,0.0,0.0
20260506,-0.2988361119849009,0.0,0.0
20260507,0.009421265141319024,0.0,0.0
20260508,0.0,0.0,0.0
20260511,0.0,0.0,0.0
20260512,0.0,0.8636363636363948,0.0
20260513,0.0,0.533333333333341,0.0
20260514,0.0,0.31521739130434345,0.0
20260515,0.0,0.008264462809919326,0.0
20260518,0.0,0.0,0.0
20260519,0.0,0.0,0.0
20260520,0.0,0.0,0.0
20260521,0.0,0.0,0.0
20260522,0.0,0.0,0.0
20260525,0.0,0.0,0.0
20260526,0.0,0.0,0.0
20260527,0.0,0.0,70.23636363636363
20260528,0.0,0.0,0.35986159169550147
20260529,0.0,0.0,0.7928753180661576
20260601,0.0,0.0,-0.592108998013057
20260602,0.0,0.0,1.5379262352122485
20260603,0.0,0.0,-0.12914724431039226
20260604,0.0,0.0,0.0
20260605,0.0,0.0,0.0
20260608,0.0,0.0,-0.5450251889168765
20260609,0.0,0.0,0.11124644742184331
20260610,0.0,0.0,-0.5458531238582389
